,"name","boundaryType","validTime","leftPlateId","rightPlateId","reconstructionPlateId","points"
39,"Laurussia subduction","SubductionZone","{'beginMa': 430.0, 'endMa': 420.1}",,,101,"{12.230064036,-111.5656425153},{15.0141427045,-108.9342080169},{16.992549025,-106.3743270102},{19.3204378172,-103.0114578446},{21.1160400368,-99.9227492792},{22.9599031347,-96.7104042439},{24.9528984562,-93.876092495},{26.869225737,-91.5561439652},{29.9360247956,-88.9626599603},{31.3243062761,-86.6022775159},{32.4410826762,-83.6205344376},{33.8205258866,-81.018355719},{35.2785484396,-78.8614955777},{37.0856910397,-77.6851456402},{38.9592333315,-76.25006041},{40.3019850451,-74.2536964092},{41.4745651886,-71.8473830441},{42.4339822703,-70.2163690166},{43.3906321821,-67.9465270216},{44.3623165339,-64.842798919},{45.007862123,-62.5476841386},{45.5740076973,-59.9836877807},{46.2630585143,-57.9651188825},{47.0775121534,-55.9035869044},{47.9458801466,-54.1240144056},{49.1847149841,-52.4815190959},{49.9348967128,-51.0972073028}"
40,"East Avalonia subduction zone (Tornquist subduction)","SubductionZone","{'beginMa': 460.0, 'endMa': 455.1}",,,315,"{56.2519108463,-7.0675472103},{56.3502640606,-4.8071959344},{56.6747158725,-0.8543834209000001},{56.4782355154,4.8606132656},{55.9120936369,11.1340298125},{55.3618695455,14.7337284728},{54.4918705923,17.2679083975},{53.4912813552,21.3871550635},{53.4563046062,25.8423650251}"
41,"East Avalonia subduction (Tornquist)","SubductionZone","{'beginMa': 450.0, 'endMa': 445.1}",,,315,"{54.5879244482,-12.5598519535},{55.0793048754,-11.855209491},{56.2429500366,-8.9549161003},{56.466541436,-3.7163143062},{56.6883508924,0.18210949210000002},{56.373673452,5.2317263762},{56.0888840569,9.6948840989},{55.5243608404,13.7035174502},{54.8822894872,15.9642351151},{53.570239028,19.0181799594},{52.5254342587,20.3358192372},{51.3845320821,21.0592991555},{50.5377164077,21.0997056069},{49.4983863861,21.1969841501},{45.5716558981,20.7601541333},{38.3898313056,18.3674997135}"
42,"East Avalonia subduction (Tornquist)","SubductionZone","{'beginMa': 445.0, 'endMa': 440.1}",,,315,"{55.18498247,-14.4965250684},{56.2698711065,-7.0503350846},{56.701369347,1.0055202136},{56.2171029398,7.2196111558},{55.7175967359,12.035257124},{54.8521225755,16.0810467371},{52.7263420755,18.4684957912}"
43,"West-East Avalonia subduction","SubductionZone","{'beginMa': 440.0, 'endMa': 435.1}",,,315,"{47.9095759317,-5.3527504279},{47.71008813,-3.1730998328},{47.746824136,1.0241626271},{47.6136544323,4.7483881979},{47.7470784839,8.7040774041},{47.9562995039,12.4167088806}"
44,"Ganderia subduction zone","SubductionZone","{'beginMa': 440.0, 'endMa': 435.1}",,,184,"{47.0100177289,-55.0299937285},{47.5771872949,-53.7608367554},{49.3499283383,-52.2665194115},{51.7177540268,-52.4376068604},{54.03613496,-53.9624311963},{58.1439417031,-53.9260630644}"
45,"Ganderia subduction zone","SubductionZone","{'beginMa': 435.0, 'endMa': 430.1}",,,184,"{40.2385718518,-73.15086602},{41.5314239216,-70.4826768692},{43.1323061862,-67.6134882644},{44.1749405576,-64.3047810823},{44.9629859287,-61.1937929612},{46.1043074578,-57.7113882005},{47.5140325788,-54.3751682735},{49.2262799933,-52.0389386705},{51.4896764865,-52.1291013592},{53.11170937,-53.0307080776},{54.6788177816,-53.4790930472}"
46,"Carolinia subduction","SubductionZone","{'beginMa': 450.0, 'endMa': 445.1}",,,185,"{28.3918834345,-90.3684147874},{29.7331326808,-87.5621351308},{31.4210586501,-85.317277982},{32.7384807645,-82.5399953742},{34.1555070774,-79.96565298269999},{36.2299365154,-77.4682836105}"
47,"Carolinia subduction","SubductionZone","{'beginMa': 445.0, 'endMa': 440.1}",,,185,"{29.9873009975,-89.2269608915},{30.9682514375,-86.7842664288},{32.1653020295,-83.7803336446},{33.7685769699,-80.5581257498},{35.9382074663,-77.5598166532},{36.5479153386,-76.9589422671}"
48,"Dashwoods subduction zone","SubductionZone","{'beginMa': 490.0, 'endMa': 475.1}",,,173,"{58.5132272235,-24.659666907000002},{56.3852976306,-32.3094844554},{55.4662896653,-34.2764936985},{53.5998864818,-38.9136163787},{51.8136771477,-42.923736091},{50.703946308,-47.403670565},{50.3340310039,-51.8503799502},{49.291579975,-56.8880024093},{48.4362015779,-59.5086172108},{48.2403956651,-61.7996631579},{46.9305363568,-66.9763564046},{44.9464839802,-71.5020546359},{42.6080835318,-75.2157712045},{41.6942503261,-76.4449792914}"
49,"Dashwoods subduction zone","SubductionZone","{'beginMa': 490.0, 'endMa': 465.1}",,,173,"{41.7198530539,-76.4444024075},{40.3011980874,-78.0618974502},{37.6914386386,-80.7686967266},{34.2943844771,-83.9014106501},{32.5562868557,-85.1213569867},{30.9323038729,-85.7183080005},{29.7638226306,-86.0360904915}"
50,"Laurentian subduction zone","SubductionZone","{'beginMa': 475.0, 'endMa': 470.1}",,,101,"{62.3403607696,-25.5732777539},{56.5887913503,-34.9999615129},{54.6771437381,-37.3926807471},{52.4492396639,-41.5000455508},{51.7675899117,-45.3929993833},{51.1087900532,-48.5944834884},{50.1930335913,-51.6976372629},{49.0410033348,-55.3161007039},{48.2184241069,-57.7310016724},{47.6881392294,-58.9851954319},{46.7658907794,-63.3304126282},{45.544774246,-66.3608642313},{43.3998341091,-69.5936893202},{41.6083615867,-72.0401606009},{39.923096,-74.0841244945}"
51,"Penobscot subduction zone","SubductionZone","{'beginMa': 485.0, 'endMa': 480.1}",,,315,"{50.018291637,-21.3520926397},{53.3073234658,-17.1243086671},{56.3535429887,-9.8854246903},{58.4779866517,-0.5790676722},{59.3361448041,10.3747537369}"
52,"Popelogan-Victoria subduction zone","SubductionZone","{'beginMa': 475.0, 'endMa': 460.1}",,,315,"{47.5833235463,-22.769872149},{49.383881604,-21.876452004},{52.1874063521,-19.7438990758},{54.5613010432,-16.9422482755},{57.3143542532,-10.9193834855},{59.3215797388,0.8465068827000001},{59.4791676966,10.6504922427}"
53,"Popelogan-Victoria subduction zone","SubductionZone","{'beginMa': 480.0, 'endMa': 475.1}",,,315,"{46.692704733,-26.9216111774},{50.3922866158,-23.0048260323},{53.4067877703,-17.5306626171},{56.4800284956,-8.4809751019},{58.5070742493,1.0345090458},{59.2734733719,10.4448687773}"
